12B-cs2,12B-sc2,12B-cs,12B-sc
12.27828,4.4945,5.94272,23.44536
12.2838,4.49776,5.94665,23.44884
12.28925,4.5006,5.95101,23.45356
12.29191,4.50416,5.9558,23.4567
12.2972,4.50834,5.9599,23.4592
12.30267,4.51146,5.96522,23.46228
12.30633,4.5149,5.96763,23.46568
12.31165,4.51804,5.97328,23.4696
12.31399,4.52172,5.97824,23.47336
12.31847,4.52534,5.98346,23.47598
12.32212,4.5287,5.98587,23.4806
12.32837,4.5324,5.98957,23.48336
12.33278,4.53502,5.99412,23.48648
12.33786,4.53896,6.00056,23.49136
12.34251,4.54232,6.00354,23.4939
12.34572,4.54574,6.0099,23.49756
12.35011,4.5504,6.01196,23.50062
12.35388,4.55222,6.01738,23.50468
12.35835,4.55612,6.02203,23.50746
12.36348,4.56038,6.02559,23.51032
12.36695,4.56336,6.03192,23.51436
12.37274,4.5664,6.03609,23.5178
12.37714,4.57,6.04098,23.5215
12.38142,4.57422,6.04416,23.5265
12.38576,4.57832,6.04951,23.52854
12.39107,4.5805,6.05145,23.53212
12.39543,4.58324,6.05776,23.53504
12.39855,4.5874,6.06141,23.53974
12.40406,4.5912,6.06574,23.54338
12.40756,4.59452,6.07077,23.54514
12.41242,4.5976,6.07407,23.54916
12.41634,4.60106,6.08003,23.55158
12.42147,4.60544,6.08422,23.5573
12.42489,4.6087,6.09028,23.5602
12.43099,4.61194,6.09296,23.56366
12.43528,4.61396,6.09594,23.56702
12.43837,4.61774,6.10132,23.56994
12.44451,4.62228,6.10523,23.57328
12.4474,4.62458,6.10988,23.5779
12.45408,4.62978,6.11612,23.5796
12.45685,4.63202,6.12066,23.58478
12.46101,4.6356,6.12341,23.58702
12.46533,4.63888,6.12952,23.59058
12.47169,4.6428,6.13326,23.5948
12.4758,4.64688,6.13727,23.59732
12.48021,4.64874,6.14114,23.60118
12.4826,4.65362,6.14527,23.60378
12.48958,4.65624,6.1493,23.60808
12.49253,4.65968,6.1554,23.6129
12.49587,4.66286,6.15941,23.61426
12.50037,4.66638,6.16412,23.61786
12.5045,4.67098,6.16811,23.6216
12.5094,4.67324,6.17346,23.62646
12.51397,4.67668,6.17723,23.62844
12.51931,4.6806,6.1814,23.63228
12.52304,4.6835,6.18576,23.63548
12.52877,4.6864,6.18989,23.63902
12.53126,4.69008,6.19475,23.64152
12.53541,4.69394,6.19852,23.64692
12.54072,4.69868,6.20477,23.64996
12.54481,4.70072,6.20672,23.65322
12.55052,4.70578,6.21172,23.65614
12.55531,4.70718,6.21583,23.65958
12.55812,4.71052,6.22224,23.66418
12.56324,4.71454,6.22538,23.6667
12.56941,4.71784,6.23026,23.6706
12.57226,4.7219,6.23493,23.67384
12.57747,4.72518,6.23881,23.67704
12.58199,4.72872,6.24435,23.68162
12.58539,4.73296,6.24888,23.68402
12.5891,4.73466,6.25332,23.6877
12.59489,4.73924,6.25652,23.69032
12.59987,4.74166,6.26135,23.6945
12.60447,4.74558,6.26679,23.69894
12.60812,4.7504,6.26989,23.7006
12.61115,4.75308,6.27554,23.70498
12.61776,4.75636,6.28056,23.70746
12.62253,4.75932,6.28298,23.71102
12.62524,4.7633,6.28799,23.71616
12.63055,4.7674,6.29367,23.71888
12.63519,4.77032,6.29738,23.72246
12.63934,4.77318,6.30164,23.7246
12.64336,4.77694,6.30582,23.72944
12.64707,4.78038,6.31012,23.73308
12.65137,4.78394,6.31362,23.73712
12.65619,4.7879,6.31769,23.73904
12.6604,4.7906,6.32426,23.74318
12.66574,4.79312,6.32649,23.74532
12.66828,4.79728,6.33335,23.75088
12.67502,4.801,6.33671,23.75308
12.67763,4.80332,6.34132,23.75666
12.68378,4.80882,6.34469,23.75884
12.68778,4.8109,6.34883,23.76396
12.69217,4.81486,6.35403,23.7675
12.69664,4.8185,6.35859,23.76946
12.70121,4.82136,6.36265,23.77408
12.70505,4.82466,6.36843,23.77784
12.7109,4.8277,6.37294,23.7807
12.71322,4.83184,6.37776,23.78482
12.71806,4.8367,6.38019,23.7872
12.72175,4.83862,6.38602,23.79176
12.728,4.84178,6.3903,23.79478
12.73202,4.84576,6.39299,23.79886
12.73686,4.84878,6.39826,23.80244
12.73991,4.85318,6.40277,23.8054
12.74635,4.8562,6.40748,23.80832
12.75125,4.8597,6.41176,23.81184
12.75463,4.8625,6.41779,23.81488
12.7578,4.86682,6.42254,23.81896
12.76297,4.87052,6.42525,23.82236
12.76697,4.8741,6.43131,23.82626
12.77305,4.87778,6.43387,23.8278
12.77412,4.88118,6.43791,23.83212
12.7791,4.88442,6.44233,23.83628
12.78576,4.8875,6.44855,23.83944
12.78843,4.89072,6.45209,23.84288
12.79332,4.8946,6.45577,23.84614
12.79793,4.89778,6.4598,23.84994
12.80204,4.90196,6.4649,23.85402
12.80637,4.90498,6.46936,23.8575
12.81043,4.90776,6.47328,23.86084
12.81475,4.91218,6.47978,23.86306
12.82066,4.9153,6.4842,23.86782
12.82636,4.91884,6.48757,23.87104
12.82995,4.9226,6.49075,23.87348
12.83338,4.92532,6.49521,23.8778
12.83841,4.9299,6.50055,23.88136
12.84367,4.93244,6.50434,23.88418
12.84564,4.93648,6.50978,23.8882
12.85152,4.93986,6.51488,23.89204
12.85672,4.94324,6.51814,23.89544
12.86103,4.94756,6.52314,23.89812
12.86423,4.94942,6.52763,23.90154
12.86874,4.95342,6.53059,23.9059
12.87281,4.9576,6.53608,23.9085
12.87634,4.9607,6.54174,23.91194
12.8837,4.96412,6.54643,23.91516
12.88845,4.96632,6.55037,23.91916
12.89143,4.97038,6.55379,23.92274
12.89616,4.97508,6.55814,23.92624
12.89973,4.97702,6.5636,23.92914
12.9042,4.98118,6.56889,23.93282
12.90959,4.9843,6.57325,23.93642
12.91413,4.98868,6.57489,23.93958
12.91723,4.9914,6.58139,23.94378
12.9222,4.9949,6.58477,23.94676
12.9274,4.99826,6.59073,23.95004
12.93105,5.00166,6.59449,23.95442
12.93508,5.00544,6.59926,23.95792
12.94165,5.0095,6.60324,23.95982
12.94553,5.01332,6.60827,23.96424
12.94984,5.01626,6.61276,23.9669
12.95207,5.01822,6.61626,23.97116
12.95976,5.02218,6.61907,23.975
12.9627,5.02642,6.62544,23.9778
12.96591,5.02946,6.63009,23.98202
12.97128,5.03284,6.63386,23.98544
12.97539,5.03584,6.63887,23.98846
12.98116,5.0398,6.6426,23.99222
12.98519,5.04282,6.64734,23.99484
12.98834,5.04632,6.65179,23.99998
12.99181,5.05006,6.65777,24.00234
12.9977,5.05314,6.66184,24.00546
13.00361,5.05722,6.66341,24.00898
13.00485,5.06124,6.66806,24.01206
13.01246,5.0641,6.67272,24.0158
13.01626,5.06814,6.67903,24.01856
13.01927,5.0711,6.6824,24.02212
13.02291,5.07454,6.68867,24.02648
13.02838,5.07804,6.69166,24.03016
13.03264,5.08138,6.69532,24.03342
13.03726,5.08422,6.70001,24.0367
13.04121,5.08788,6.70433,24.03976
13.04554,5.09168,6.71046,24.04476
13.0508,5.09482,6.71281,24.04706
13.05535,5.09836,6.71934,24.051
13.0609,5.10184,6.72142,24.05308
13.06465,5.10474,6.72735,24.05686
13.06816,5.10808,6.73037,24.06194
13.07165,5.11278,6.73596,24.06486
13.07647,5.11634,6.73939,24.06832
13.08224,5.12012,6.74437,24.07102
13.08494,5.12268,6.75036,24.07478
13.09079,5.12692,6.75492,24.07924
13.09718,5.12954,6.75893,24.08154
13.10131,5.13364,6.76307,24.08478
13.10338,5.13652,6.76661,24.08858
13.10847,5.14064,6.77221,24.09134
13.112,5.14412,6.77621,24.09612
13.11638,5.14718,6.78043,24.09916
13.12285,5.1502,6.7864,24.10316
13.12533,5.15418,6.78816,24.10532
13.13041,5.15664,6.79476,24.10924
13.13591,5.16114,6.79756,24.11292
13.13885,5.16466,6.80188,24.11556
13.14576,5.1669,6.80606,24.11908
13.14853,5.17092,6.81033,24.12266
13.15275,5.17484,6.81696,24.12692
13.15654,5.17772,6.8194,24.13072
13.16083,5.18184,6.82352,24.13368
13.16573,5.1853,6.83053,24.13704
13.16956,5.18868,6.83452,24.14004
13.17489,5.19112,6.8386,24.14374
13.1783,5.19538,6.84363,24.14756
13.18519,5.19906,6.84789,24.14996
13.18883,5.20166,6.85095,24.15574
13.19251,5.20626,6.8559,24.1577
13.19625,5.2094,6.86148,24.16126
13.20146,5.21164,6.86337,24.16486
13.20552,5.21656,6.86742,24.16746
13.20969,5.21902,6.87424,24.17094
13.21402,5.22318,6.87755,24.17424
13.21992,5.22626,6.88149,24.17822
13.22352,5.2297,6.88742,24.18234
13.22848,5.23454,6.89007,24.18542
13.23289,5.2363,6.89546,24.18798
13.23848,5.24042,6.90096,24.19206
13.24231,5.24306,6.90586,24.19522
13.24475,5.2469,6.91002,24.19994
13.25027,5.25132,6.91272,24.20248
13.25528,5.25362,6.91729,24.2067
13.25964,5.25856,6.92132,24.20836
13.26241,5.26034,6.92741,24.213
13.26719,5.2647,6.93128,24.21686
13.27193,5.26854,6.93476,24.22014
13.27739,5.27196,6.94059,24.22364
13.28206,5.27564,6.94377,24.22604
13.28615,5.27784,6.95006,24.23104
13.28905,5.28208,6.95475,24.23424
13.29442,5.28528,6.95816,24.23662
13.29943,5.28886,6.96121,24.24156
13.30413,5.29272,6.96694,24.24292
13.30752,5.29546,6.9705,24.24826
13.31147,5.30006,6.97423,24.25086
13.31654,5.30344,6.97842,24.25354
13.3219,5.3061,6.98407,24.25776
13.32706,5.31028,6.98963,24.2612
13.33056,5.31346,6.99329,24.26576
13.33382,5.31626,6.99672,24.26886
13.33959,5.32014,7.00136,24.2722
13.34172,5.32306,7.00604,24.27464
13.34908,5.32724,7.01032,24.27896
13.35267,5.32954,7.01596,24.2827
13.35744,5.33334,7.0199,24.28528
13.36117,5.3381,7.0243,24.2883
13.36697,5.3408,7.02954,24.29292
13.37189,5.34444,7.03443,24.29536
13.37298,5.34724,7.03746,24.29956
13.3786,5.35086,7.04308,24.30334
13.38484,5.35492,7.04594,24.30622
13.38884,5.35706,7.05132,24.31002
13.39359,5.36174,7.05416,24.31174
13.39597,5.36386,7.06026,24.31784
13.40007,5.36754,7.06333,24.32076
13.40606,5.37208,7.06989,24.3232
13.4111,5.37504,7.07266,24.32762
13.41433,5.3776,7.0772,24.33038
13.41952,5.3816,7.08244,24.33348
13.42459,5.38476,7.08698,24.3379
13.4282,5.38848,7.09175,24.34098
13.43316,5.3922,7.09578,24.34432
13.43757,5.39676,7.09909,24.34708
13.43961,5.39922,7.10521,24.35114
13.44468,5.40228,7.1091,24.35592
13.44961,5.40632,7.11406,24.35778
13.45494,5.40868,7.11808,24.36094
13.45909,5.41352,7.12135,24.36502
13.46225,5.41706,7.12593,24.36892
13.46869,5.41986,7.13046,24.37338
13.47187,5.42406,7.13514,24.37568
13.47613,5.42634,7.13909,24.37894
13.48198,5.43016,7.14314,24.3817
13.48503,5.4333,7.14893,24.38624
13.49079,5.43688,7.15452,24.3894
13.4954,5.44048,7.15843,24.39236
13.50003,5.44416,7.16153,24.39604
13.50209,5.44854,7.165,24.3992
13.50704,5.45052,7.17037,24.40318
13.51098,5.45406,7.17443,24.40738
13.5152,5.45846,7.17932,24.40918
13.52029,5.46076,7.18559,24.41296
13.52608,5.4641,7.18898,24.41602
13.52989,5.46718,7.19295,24.42036
13.53369,5.47114,7.19723,24.4246
13.53941,5.4748,7.20233,24.42734
13.54331,5.47762,7.20469,24.4312
13.54695,5.48254,7.21122,24.43466
13.55174,5.4842,7.2149,24.4374
