250k-SF128-1024B,250k-SF128-128B,250k-SF128-12B,64k5-SF2048-4o6-1024B,64k5-SF2048-4o6-128B,64k5-SF2048-4o6-12B
,109.04819,21.38529,,,
,109.04491,21.38669,,,
,109.04534,21.38859,,,
,109.04605,21.38563,,,
,109.04361,21.38757,,,
,109.04344,21.38897,,,
,109.04419,21.3869,,,
,109.04564,21.38831,,,
,109.04551,21.38627,,,
,109.04271,21.38767,,,
,109.04262,21.38564,,,
,109.04718,21.38703,,,
,109.04318,21.38499,,,
,109.04813,21.3864,,,
,109.04457,21.38829,,,
,109.04528,21.38969,,,
,109.04281,21.38764,,,
,109.0482,21.3847,,,
,109.04576,21.38663,,,
,109.04172,21.38805,,,
,109.04279,21.38598,,,
,109.04264,21.38739,,,
,109.04727,21.38536,,,
,109.0436,21.39073,,,
,109.04077,21.38865,,,
,109.04846,21.38605,,,
,109.04531,21.3882,,,
,109.04562,21.38925,,,
,109.04275,21.38713,,,
,109.0426,21.3882,,,
,109.04717,21.38609,,,
,109.04747,21.38718,,,
,109.04463,21.38502,,,
,109.0449,21.38643,,,
,109.04205,21.38433,,,
,109.04621,21.38576,,,
,109.04692,21.38789,,,
,109.04723,21.38539,,,
,109.04829,21.38729,,,
,109.0482,21.38866,,,
,109.04494,21.38662,,,
,109.04917,21.38804,,,
,109.04592,21.38596,,,
,109.04186,21.38734,,,
,109.04326,21.38529,,,
,109.04306,21.39061,,,
,109.04812,21.38465,,,
,109.04408,21.38606,,,
,109.04522,21.38788,,,
,109.04276,21.38928,,,
,109.04421,21.38726,,,
,109.04406,21.38432,,,
,109.04515,21.38622,,,
,109.04496,21.38679,,,
,109.04214,21.3887,,,
,109.04638,21.3901,,,
,109.04709,21.38803,,,
,109.04853,21.38544,,,
,109.04453,21.38757,,,
,109.04519,21.3847,,,
,109.0455,21.38681,,,
,109.04693,21.38387,,,
,109.04449,21.38602,,,
,109.04435,21.38745,,,
,109.04543,21.38936,,,
,109.04161,21.39076,,,
,109.0423,21.38478,,,
,109.04674,21.3901,,,
,109.04365,21.38412,,,
,109.04788,21.38945,,,
,109.04542,21.38738,,,
,109.04139,21.38444,,,
,109.04279,21.38635,,,
,109.04698,21.38777,,,
,109.04417,21.3857,,,
,109.04401,21.38706,,,
,109.04505,21.38463,,,
,109.04535,21.38602,,,
,109.04641,21.38792,,,
,109.04274,21.38502,,,
,109.04391,21.39116,,,
,109.04533,21.38429,,,
,109.04524,21.39041,,,
,109.04196,21.3875,,,
,109.04589,21.38533,,,
,109.04279,21.38645,,,
,109.04657,21.38426,,,
,109.04729,21.3854,,,
,109.04477,21.38758,,,
,109.04593,21.38515,,,
,109.04581,21.38727,,,
,109.04256,21.38868,,,
,109.04793,21.38659,,,
,109.0451,21.38802,,,
,109.04255,21.38594,,,
,109.04402,21.38732,,,
,109.04385,21.38914,,,
,109.04529,21.3862,,,
,109.04516,21.38402,,,
,109.04222,21.38545,,,
,109.0437,21.38758,,,
,109.04512,21.38465,,,
,109.04616,21.38643,,,
,109.04325,21.38784,,,
,109.04465,21.38583,,,
,109.04452,21.38723,,,
,109.04514,21.38511,,,
,109.04223,21.38648,,,
,109.04367,21.38864,,,
,109.04384,21.39011,,,
,109.04451,21.38793,,,
,609.04403,21.38472,,,
,359.04484,21.38687,,,
,109.04564,21.38829,,,
,109.04272,21.39009,,,
,109.04412,21.38715,,,
,109.04398,21.38512,,,
,109.04543,21.38651,,,
,109.04564,21.3884,,,
,109.04241,21.38545,,,
,109.04225,21.38739,,,
,109.04325,21.38874,,,
,109.0447,21.38674,,,
,109.04615,21.38816,,,
,109.04484,21.38609,,,
,109.04549,21.38749,,,
,109.04271,21.38546,,,
,109.04255,21.39082,,,
,109.04365,21.38484,,,
,109.04349,21.39017,,,
,109.04464,21.3881,,,
,109.04486,21.38951,,,
,109.04582,21.38748,,,
,109.04457,21.38452,,,
,109.04518,21.38645,,,
,109.04515,21.38785,,,
,109.04612,21.38583,,,
,109.04204,21.38719,,,
,109.04271,21.38518,,,
,109.04413,21.38661,,,
,109.04128,21.38455,,,
,109.04505,21.38595,,,
,109.04539,21.38392,,,
,109.04559,21.38531,,,
,359.04299,21.38722,,,
,109.0438,21.38825,,,
,359.04235,21.38618,,,
,109.04315,21.38758,,,
,109.043,21.38555,,,
,109.04415,21.38695,,,
,109.04432,21.38884,,,
,109.04537,21.38592,,,
,109.04528,21.38783,,,
,109.042,21.38493,,,
,109.04699,21.38675,,,
,109.04291,21.38382,,,
,109.04407,21.38995,,,
,109.04427,21.39135,,,
,109.04486,21.38527,,,
,109.04635,21.3864,,,
,109.04226,21.38421,,,
,109.04302,21.38562,,,
,109.04445,21.38742,,,
,109.04439,21.38879,,,
,109.04536,21.38679,,,
,109.0456,21.38816,,,
,109.04232,21.38616,,,
,109.04375,21.38759,,,
,109.04371,21.38554,,,
,109.04437,21.38694,,,
,109.04431,21.38492,,,
,109.04491,21.38633,,,
,109.0449,21.38425,,,
,109.04587,21.38956,,,
,109.04337,21.38752,,,
,109.04482,21.3889,,,
,109.04228,21.38686,,,
,109.04227,21.38427,,,
,109.04324,21.3864,,,
,109.04324,21.39177,,,
,109.04424,21.38957,,,
,109.04425,21.38698,,,
,109.04526,21.3849,,,
,109.04405,21.38629,,,
,109.04466,21.38818,,,
,109.04581,21.38959,,,
,109.0417,21.38751,,,
,109.04271,21.38891,,,
,109.04418,21.38685,,,
,109.0452,21.38826,,,
,109.04239,21.38621,,,
,109.04379,21.3876,,,
,109.04379,21.38555,,,
,109.04479,21.39088,,,
,359.045,21.38493,,,
,109.04581,21.38634,,,
,109.04691,21.38815,,,
,359.04419,21.3852,,,
,109.045,21.38733,,,
,109.04211,21.38446,,,
,109.04199,21.38624,,,
,109.04275,21.38731,,,
,109.0426,21.38518,,,
,109.04374,21.38627,,,
,109.04392,21.3841,,,
,109.04452,21.38551,,,
,109.04169,21.38731,,,
,109.04546,21.38871,,,
,109.04213,21.38663,,,
,109.04203,21.38804,,,
,109.04264,21.38994,,,
,109.04408,21.38699,,,
,109.04548,21.38497,,,
,109.04296,21.38638,,,
,109.04281,21.38432,,,
,109.04381,21.38574,,,
,109.04528,21.38366,,,
,109.04271,21.38897,,,
,109.04293,21.38694,,,
,109.04358,21.38435,,,
,109.04458,21.38649,,,
,109.04443,21.38361,,,
,109.04505,21.38575,,,
,109.04213,21.38714,,,
,109.0436,21.38497,,,
,109.04504,21.38639,,,
,109.04503,21.38438,,,
,109.04599,21.38573,,,
,109.04599,21.38373,,,
,109.04268,21.38515,,,
,109.04654,21.38303,,,
,109.04325,21.388,,,
,109.04319,21.38598,,,
,359.0418,21.38739,,,
,109.0426,21.38532,,,
,109.04245,21.38672,,,
,109.04317,21.38468,,,
,109.04303,21.38569,,,
,109.0441,21.38758,,,
,109.04552,21.38897,,,
,109.0455,21.38694,,,
,109.0422,21.38833,,,
,109.04213,21.39022,,,
,109.04313,21.38732,,,
,109.04309,21.38915,,,
,109.04369,21.3905,,,
,359.04351,21.38841,,,
,109.04433,21.3898,,,
,109.04577,21.38761,,,
,109.04523,21.38861,,,
,109.04636,21.38644,,,
,109.04619,21.38788,,,
,109.04367,21.38583,,,
,109.04473,21.38724,,,
,109.04219,21.3852,,,
,109.04327,21.38661,,,
,109.04469,21.38456,,,
,109.04615,21.38597,,,
,109.04209,21.38786,,,
,359.04257,21.38527,,,
,109.04338,21.39139,,,
,109.04441,21.38458,,,
,109.04585,21.38673,,,
,109.04329,21.38433,,,
,109.04475,21.39045,,,
,109.04222,21.38761,,,
,109.04364,21.38543,,,
,109.04474,21.38658,,,
,109.04615,21.38441,,,
,109.0436,21.38555,,,
,109.04506,21.38768,,,
,109.0449,21.38474,,,
,109.04599,21.3869,,,
,109.04191,21.38441,,,
,109.04253,21.38632,,,
,109.04399,21.38772,,,
,109.04543,21.38569,,,
,109.04251,21.38709,,,
,359.04416,21.38505,,,
,109.04497,21.38646,,,
,109.04483,21.38443,,,
,109.04545,21.38586,,,
,109.04261,21.38769,,,
,109.04361,21.38475,,,
,109.04503,21.38688,,,
,109.04493,21.38404,,,
,109.04206,21.38616,,,
,109.04351,21.38719,,,
,109.04337,21.3851,,,
,109.04445,21.38653,,,
,109.04431,21.38869,,,
,109.04545,21.3862,,,
,109.04564,21.38419,,,
,109.04231,21.38951,,,
,109.04379,21.38747,,,
,109.04363,21.38453,,,
,109.04473,21.38666,,,
,109.04457,21.38807,,,
,109.04571,21.38987,,,
,109.04555,21.39128,,,
,109.04632,21.38921,,,
,109.0438,21.38628,,,
,109.04528,21.38421,,,
,109.0439,21.38956,,,
,109.04451,21.3875,,,
,109.0444,21.38456,,,
,109.04543,21.38648,,,
,109.04266,21.38358,,,
,109.0429,21.38546,,,
,109.04364,21.38685,,,
,109.04349,21.38484,,,
,109.04498,21.38622,,,
,109.0448,21.38815,,,
,109.04542,21.38519,,,
,109.04251,21.38709,,,
,109.04352,21.38452,,,
,109.04496,21.38643,,,
,109.0464,21.38784,,,
,109.04389,21.38577,,,
,109.04386,21.38717,,,
,109.04482,21.38512,,,
,109.04227,21.38654,,,
,109.04371,21.38448,,,
,109.04357,21.38587,,,
,109.04434,21.38382,,,
,109.04178,21.38915,,,
,109.04321,21.3832,,,
,109.04466,21.38853,,,
,109.0445,21.39036,,,
,109.04166,21.38741,,,
,109.04542,21.38524,,,
,109.04607,21.38662,,,
,109.04596,21.38878,,,
,109.04307,21.38627,,,
,109.04455,21.38842,,,
,109.04599,21.38592,,,
,109.04314,21.38782,,,
,109.04332,21.38489,,,
,109.04401,21.38678,,,
,109.0411,21.38782,,,
,109.04487,21.38575,,,
,109.04548,21.38714,,,
,109.04257,21.38469,,,
,109.04242,21.3861,,,
,109.04314,21.38802,,,
,109.04298,21.38509,,,
,109.04442,21.38693,,,
,109.04432,21.38829,,,
,109.04536,21.38618,,,
,109.04528,21.38758,,,
,109.04595,21.38539,,,
,109.04193,21.38678,,,
,109.04297,21.38471,,,
,109.04405,21.38607,,,
,109.04393,21.3879,,,
,109.04508,21.38496,,,
,109.0453,21.3871,,,
,109.04253,21.38851,,,
,109.04395,21.3864,,,
,109.04394,21.38752,,,
,109.04495,21.38534,,,
,109.0449,21.38634,,,
,109.04197,21.38426,,,
,109.04182,21.38564,,,
,109.04327,21.38747,,,
,109.0435,21.38889,,,
,109.04425,21.38687,,,
,109.04568,21.3883,,,
,109.04171,21.38623,,,
,109.04277,21.38763,,,
,109.04423,21.38591,,,
,109.04408,21.38734,,,
,109.04508,21.38559,,,
,109.04217,21.38747,,,
,109.04361,21.3858,,,
,109.04087,21.38728,,,
,109.04464,21.38564,,,
,109.04544,21.38749,,,
,109.04296,21.38549,,,
,109.04286,21.38672,,,
,109.04433,21.38504,,,
,109.04465,21.38653,,,
,109.0453,21.38484,,,
,109.04528,21.38633,,,
,109.04599,21.38869,,,
,109.04199,21.38653,,,
,109.04318,21.38922,,,
,109.04299,21.38656,,,
,109.04395,21.38467,,,
,109.04433,21.38611,,,
,109.04538,21.38446,,,
,109.04252,21.38633,,,
,109.04272,21.38465,,,
,109.04308,21.3865,,,
,109.04337,21.38483,,,
,109.04385,21.38671,,,
,109.04372,21.38896,,,
,109.04408,21.38637,,,
,109.0437,21.38801,,,
,109.04444,21.38556,,,
,109.04174,21.38783,,,
,109.04596,21.38933,,,
,109.04273,21.3837,,,
,109.04415,21.38887,,,
,109.04446,21.38723,,,
,109.04507,21.38487,,,
,109.04504,21.38712,,,
,109.04587,21.38862,,,
,109.04574,21.38695,,,
,109.04292,21.38446,,,
,109.04272,21.3867,,,
,109.04366,21.38819,,,
,109.04494,21.38544,,,
,109.04462,21.3869,,,
,109.04532,21.38499,,,
,359.04119,21.38648,,,
,109.042,21.38479,,,
,109.04622,21.38627,,,
,109.04338,21.3883,,,
,109.04482,21.38588,,,
,109.04237,21.38813,,,
,109.0424,21.38565,,,
,109.04378,21.384,,,
,109.04357,21.38561,,,
,109.04427,21.38784,,,
,109.04177,21.3854,,,
,109.04327,21.38763,,,
,109.04474,21.38916,,,
,109.04466,21.38753,,,
,359.041,21.38481,,,
,109.04182,21.39098,,,
,359.04216,21.38802,,,
,109.04297,21.38618,,,
,109.04441,21.38778,,,
,109.0448,21.38608,,,
,109.04565,21.38759,,,
,109.04156,21.38995,,,
,109.04246,21.38744,,,
,109.04278,21.38939,,,
,109.04324,21.38696,,,
,109.04466,21.38925,,,
,109.04619,21.3866,,,
,109.04251,21.38463,,,
