250k-SF128-1024B,250k-SF128-128B,250k-SF128-12B,64k5-SF2048-4o6-1024B,64k5-SF2048-4o6-128B,64k5-SF2048-4o6-12B
817.3589,109.05089,21.38734,40864.63943,5441.16663,1181.13722
817.3592,109.04706,21.38916,40865.13988,5441.17183,1181.12517
817.35509,109.04753,21.39053,40864.63993,5441.17619,1181.12853
817.35549,109.04892,21.38845,40865.14252,5441.16541,1181.11663
817.36144,109.04891,21.38582,40864.64257,5441.16974,1181.1197
817.3571,109.04998,21.38796,40865.12741,5441.17495,1181.12373
817.35726,109.05025,21.38544,40864.62746,5441.16335,1181.12697
817.35882,109.04731,21.38759,40865.13011,5441.16851,1181.13103
817.35584,109.04718,21.38901,40864.63016,5441.17283,1181.13429
817.35932,109.04766,21.38718,40865.13165,5441.16199,1181.12229
817.36084,109.0479,21.38823,40864.6317,5441.16629,1181.12525
817.35816,109.04908,21.38607,40865.13397,5441.17174,1181.12924
817.35792,109.04905,21.38747,40864.63401,5441.17631,1181.11652
817.35614,109.04575,21.38965,40865.13557,5441.16548,1181.12053
817.35849,109.04957,21.3868,40864.63562,5441.16961,1181.12353
817.35555,109.05017,21.38893,40865.13781,5441.17476,1181.12751
817.35908,109.05011,21.38648,40864.63786,5441.17909,1181.13051
817.35538,109.0472,21.38864,40865.13919,5441.16827,1181.11846
817.36011,109.04868,21.38613,40864.63924,5441.17264,1181.12151
817.35573,109.04967,21.38828,40865.12536,5441.17776,1181.12553
2317.3573,109.05114,21.38967,40864.62541,5441.16634,1181.12876
817.3606,109.04861,21.38747,40865.14269,5441.17146,1181.13277
817.36084,109.04997,21.38886,40864.64273,5441.17582,1181.12009
817.35992,109.0498,21.3867,40865.12956,5441.16516,1181.12413
817.35772,109.05037,21.38802,40864.62961,5441.16965,1181.12707
817.35711,109.05019,21.3899,40865.13031,5441.17502,1181.1311
817.35904,109.04691,21.38729,40864.63036,5441.1796,1181.13405
817.35754,109.04674,21.38918,40865.13315,5441.16888,1181.1221
817.3579,109.04741,21.38656,40864.6332,5441.17331,1181.12537
817.35738,109.0488,21.38845,40865.13425,5441.17863,1181.12932
817.35609,109.04875,21.38983,40864.6343,5441.16714,1181.13262
817.35371,109.04545,21.38773,40865.13725,5441.17248,1181.12064
817.35588,109.04689,21.38911,40864.6373,5441.17703,1181.12392
817.35755,109.04431,21.38701,40865.12272,5441.16617,1181.12792
817.36021,109.04965,21.3884,40864.62277,5441.17076,1181.13112
817.35995,109.04985,21.38628,40865.12528,5441.17615,1181.13514
817.35459,109.05048,21.38767,40864.62533,5441.16475,1181.12214
817.35756,109.04644,21.38984,40865.12708,5441.17008,1181.12614
817.36307,109.0471,21.38728,40864.62713,5441.17454,1181.12919
817.36132,109.04704,21.38482,40865.12987,5441.16389,1181.13318
817.36258,109.04762,21.39046,40864.62992,5441.16841,1181.1205
817.35999,109.04758,21.38827,40865.13153,5441.1738,1181.12454
817.35702,109.04816,21.38966,40864.63158,5441.17806,1181.12748
817.359,109.048,21.38744,40865.13404,5441.16746,1181.13151
817.36037,109.04513,21.38851,40864.63409,5441.172,1181.11884
817.35969,109.04652,21.38632,40865.13535,5441.17733,1181.12289
817.35781,109.04674,21.38769,40864.6354,5441.16583,1181.12518
817.35843,109.04734,21.38983,40865.12193,5441.17135,1181.12912
817.35932,109.04716,21.38727,40864.62198,5441.17599,1181.13213
817.35644,109.04423,21.38909,40865.12383,5441.16552,1181.12016
817.35777,109.0452,21.38647,40864.62388,5441.17022,1181.12344
817.35801,109.04658,21.38863,40865.12715,5441.17568,1181.12738
817.35816,109.04679,21.39006,40864.62719,5441.16427,1181.13067
817.35558,109.04339,21.38787,40865.12873,5441.16954,1181.13465
817.35298,109.04716,21.38495,40864.62877,5441.17416,1181.12192
817.3603,109.04784,21.38711,40865.13208,5441.17944,1181.12593
817.35882,109.04805,21.38859,40864.63213,5441.16804,1181.12895
817.3579,109.04484,21.38676,40865.13421,5441.17327,1181.13169
817.35706,109.04903,21.38811,40864.63425,5441.17785,1181.13571
817.35971,109.04966,21.38593,40865.1217,5441.1672,1181.12291
817.35745,109.04949,21.38729,40864.62175,5441.172,1181.12693
817.35363,109.04613,21.38523,40865.12329,5441.17723,1181.13022
817.35695,109.04907,21.39052,40864.62333,5441.16578,1181.13427
817.35869,109.05001,21.38844,40865.12653,5441.17111,1181.12153
817.36427,109.04749,21.38982,40864.62657,5441.17576,1181.1256
817.36003,109.04742,21.38775,40865.12848,5441.16512,1181.12855
817.35535,109.04449,21.38913,40864.62853,5441.16976,1181.13252
817.35585,109.04713,21.39094,40865.13135,5441.17504,1181.11975
817.36113,109.0442,21.38833,40864.6314,5441.17957,1181.12385
817.35461,109.04909,21.38615,40865.13358,5441.16893,1181.12683
817.35849,109.04503,21.38755,40864.63363,5441.17346,1181.13093
817.36051,109.04957,21.3897,40865.13648,5441.17879,1181.13423
817.35816,109.04955,21.38724,40864.63653,5441.16744,1181.12228
817.36039,109.04616,21.38503,40865.12235,5441.17291,1181.12528
817.35615,109.04636,21.39041,40864.6224,5441.17773,1181.12977
817.36137,109.04696,21.38822,40865.12556,5441.16706,1181.1331
817.35812,109.0468,21.38567,40864.62561,5441.17169,1181.12117
817.35606,109.0474,21.38783,40865.12722,5441.17716,1181.1245
817.35711,109.04725,21.38922,40864.62727,5441.16571,1181.12849
817.35698,109.04784,21.38713,,5441.17075,1181.13177
817.35761,109.0478,21.38852,,5441.17465,1181.11978
817.35579,109.04445,21.38641,,5441.1802,1181.13881
817.35809,109.04978,21.3878,,5441.16905,1181.12684
817.35538,109.04723,21.38571,,5441.17438,1181.13012
817.355,109.04313,21.38708,,5441.17803,1181.13417
