32 chunks,16 chunks,2 chunks
111.01278,61.64612,29.6917
117.54266,110.9919,17.74789
112.69974,64.73665,18.57904
154.6606,62.2518,16.26784
113.8259,62.1529,17.76856
111.513,62.92918,18.58579
115.23349,68.55101,16.2728
112.76148,63.25218,17.77333
129.82151,65.87656,18.60211
110.88595,97.68262,16.23909
117.96817,62.29832,17.77735
115.28311,61.08427,18.59148
115.94977,63.47476,20.47411
123.99656,64.16504,31.71987
154.97436,103.23937,19.8564
154.68889,72.47381,16.263
114.66346,62.27179,17.79308
114.60378,62.24272,18.60117
150.87116,62.99163,20.46637
149.00669,64.2242,17.81245
130.57139,66.13047,18.61013
144.70903,64.72682,16.2228
111.72591,186.33304,17.79673
118.07129,91.93724,18.61294
139.77031,63.26735,16.2511
116.18312,64.74097,21.55057
119.33809,63.05822,18.606
114.63015,61.83012,16.29564
143.74349,91.8202,17.78422
134.52667,61.79638,18.62087
118.0297,98.1576,16.25489
109.4627,66.02129,24.74095
117.62862,63.29409,18.5736
112.95577,64.48633,16.27568
140.61599,64.74991,17.8265
114.76006,71.59011,18.62636
130.47307,60.12277,16.23997
111.8562,94.3915,17.82008
113.49952,64.7987,24.50957
147.17629,64.91786,30.98406
147.64729,64.3488,17.82401
130.43259,103.91464,18.61718
114.32516,60.16961,16.27838
111.67688,106.0078,17.80756
111.62376,64.44342,24.50295
151.99101,66.08933,16.29203
120.05287,99.27919,24.75229
115.40511,62.49989,18.58045
117.18995,,23.78575
115.42521,,17.81247
125.2041,,18.63709
117.67602,,27.99435
119.41347,,32.56718
114.14355,,23.2176
115.40127,,16.28777
171.14758,,17.83216
118.96798,,18.65003
157.95688,,28.01222
117.94567,,17.77852
117.94544,,18.77512
138.91853,,16.30583
115.83735,,17.85587
127.35285,,18.672
108.4149,,16.26962
117.65936,,29.08584
122.1767,,18.66512
146.35591,,16.31146
116.87315,,17.85171
113.6437,,18.66975
143.98402,,16.31903
115.54207,,19.13165
138.20122,,22.28228
114.00871,,16.2546
117.24686,,17.83994
115.25852,,18.68423
113.89328,,20.52544
175.55121,,17.8802
114.29296,,32.08155
126.30879,,34.95641
118.19182,,17.85232
115.54465,,18.69852
177.77677,,16.29799
109.51101,,17.88737
119.37679,,30.11753
115.56236,,21.29378
114.15144,,17.86679
127.64904,,18.7082
116.39457,,16.30113
121.26369,,17.87974
114.52771,,18.69116
118.24207,,18.25854
129.32579,,37.78625
113.93232,,18.70823
113.06072,,16.34959
138.26853,,17.89147
115.47252,,18.82561
117.89781,,16.32002
128.99633,,17.8993
112.67585,,18.70631
122.04448,,16.35961
117.36945,,17.89513
114.85123,,18.71766
153.66428,,16.34989
114.85277,,43.59668
157.33172,,19.13694
115.47859,,16.37853
118.24136,,17.89487
123.73434,,18.83732
116.60003,,16.39578
127.12402,,17.91489
116.47167,,18.73924
115.64571,,16.37927
127.72253,,17.91869
148.09607,,18.84289
116.61038,,16.37662
115.00728,,17.91053
115.63363,,30.18909
157.45748,,29.22982
151.89857,,24.84904
114.39935,,18.73379
114.94906,,16.4117
114.13024,,17.89805
129.52229,,18.71952
140.12134,,16.39947
115.70861,,17.93131
158.85941,,18.76155
139.26536,,16.39398
119.67373,,17.93104
127.4762,,18.75243
114.70984,,38.30586
177.39397,,31.834
113.20425,,20.01731
119.70401,,23.90106
127.60096,,24.88128
146.8441,,18.73522
118.29078,,23.91127
114.67612,,17.93852
115.59544,,18.78112
117.41706,,16.408
126.18157,,17.95065
115.11173,,18.78008
117.50806,,16.44472
113.11277,,62.39137
148.15077,,18.77066
137.59082,,16.41843
118.33972,,17.9462
114.28008,,18.78161
115.11531,,16.41954
122.54158,,17.95415
150.047,,18.79255
119.73382,,16.43231
155.07639,,17.9509
108.60083,,24.66018
114.53308,,16.43471
148.8341,,17.94983
115.62953,,20.32264
130.17309,,31.27534
116.2174,,17.94156
113.96451,,18.808
125.41337,,16.43548
151.85605,,17.96251
119.79995,,18.8041
115.02754,,16.46709
142.33472,,17.9703
153.25045,,18.80303
137.48702,,16.48109
112.38552,,17.96549
146.37865,,18.80566
117.55134,,16.43904
154.46774,,32.68064
116.38972,,21.27463
117.55865,,15.76033
157.57981,,17.96708
113.21024,,18.80749
122.60877,,16.44739
139.84692,,17.97423
114.40085,,18.81455
132.13547,,16.41643
118.25255,,17.98514
118.1879,,18.80921
148.63784,,16.4652
126.94853,,17.97113
115.70643,,22.39064
117.74243,,16.4283
115.86262,,17.98703
131.28737,,18.82301
122.33641,,16.4713
115.4798,,17.97299
114.54706,,18.83017
118.96576,,16.4734
115.27398,,17.98423
118.97877,,18.83685
114.9156,,16.4771
126.45383,,17.98277
111.44738,,18.83582
126.96488,,30.61489
116.99321,,17.99819
113.4865,,18.83858
128.35333,,16.45511
117.74163,,17.9931
151.5282,,18.8416
118.50009,,16.51138
140.53268,,24.9501
116.81237,,18.84429
113.47216,,16.45918
124.76799,,21.73677
129.89699,,18.84309
126.9981,,16.49486
114.13811,,32.72229
116.93831,,21.34993
117.34584,,15.82182
128.40648,,17.9883
125.19745,,18.85972
116.80751,,16.50078
149.9377,,21.74857
114.96239,,18.86666
138.2965,,16.50861
117.74141,,18.02654
114.50716,,18.85878
197.75857,,16.52286
113.29412,,18.00005
146.59668,,41.32649
111.69798,,16.51224
114.75958,,18.02012
118.60826,,18.86449
114.20344,,16.52422
148.22589,,18.02705
148.10364,,24.74992
132.54111,,16.48476
109.94562,,18.03801
121.29106,,18.88101
128.38448,,16.52763
146.97115,,18.03283
119.51569,,18.88381
118.42713,,35.19055
158.39152,,18.03961
140.38291,,18.87362
127.85609,,16.59216
119.11563,,18.03807
115.12608,,18.88284
118.41939,,29.38223
119.1614,,18.03299
129.54469,,18.88843
112.14106,,16.51599
142.54739,,18.04395
116.92163,,18.88118
114.90619,,16.54656
115.44684,,32.75918
114.78395,,21.38538
126.63498,,15.86425
113.63225,,18.03779
113.71948,,18.90532
155.80328,,16.54602
114.61483,,20.96148
120.61652,,18.90906
120.19761,,16.55491
127.10549,,18.09638
120.24429,,18.91111
117.9259,,16.5587
115.36367,,18.05852
146.00076,,20.49432
132.79927,,16.56625
116.07122,,18.06145
147.88108,,18.92083
116.96609,,16.5349
127.96088,,18.09469
111.69638,,22.54695
115.56383,,20.78017
131.55899,,18.09863
120.16284,,18.90538
131.04058,,16.53827
115.03678,,18.09357
115.00804,,18.91304
114.35485,,33.16875
144.70876,,16.54136
114.7487,,18.91316
113.64074,,16.54465
165.41151,,18.11652
148.48181,,18.94807
118.85896,,16.54863
114.70411,,29.37439
114.80242,,22.48408
206.67885,,20.74835
156.30046,,21.86601
113.85235,,18.93256
113.84401,,16.58393
114.53295,,37.93125
117.22079,,23.56533
138.48314,,22.78252
127.34625,,25.13646
116.05783,,18.92139
159.03287,,24.10053
139.0726,,18.1287
115.47642,,30.17938
158.58642,,15.89623
118.64755,,21.83546
125.18712,,18.92914
118.81195,,16.59927
122.7041,,18.15258
125.65193,,66.06391
115.44824,,16.54339
142.33541,,18.14505
112.90683,,18.94501
131.44124,,20.81734
116.39728,,18.14445
113.89562,,18.96473
114.18383,,28.2634
146.34289,,18.13475
114.8122,,24.8789
128.03095,,16.56375
112.39274,,21.83937
118.56273,,18.95658
148.84857,,72.83248
115.61169,,18.14108
128.58416,,18.94842
141.32591,,16.58164
118.68244,,18.12556
108.64686,,18.99843
118.68184,,16.57714
158.97581,,19.39003
152.61723,,18.95615
111.44916,,16.63716
119.94133,,18.1188
115.13162,,18.97206
188.95861,,16.61024
127.40507,,33.50417
118.57706,,18.90252
109.35871,,16.57176
187.31129,,18.12829
158.60148,,18.97686
150.14662,,16.62724
116.29504,,18.16992
114.84553,,30.4554
126.67159,,18.27663
111.8053,,18.16058
119.29239,,18.98058
119.82333,,16.63439
110.40679,,18.13309
117.41543,,18.98841
115.74736,,28.98145
147.28846,,18.13247
119.77106,,18.98437
118.15472,,16.6375
115.13668,,18.11797
148.65844,,19.04673
164.18286,,16.64165
121.68767,,18.14962
115.69945,,19.02522
115.58844,,16.62072
126.27758,,18.149
126.4079,,24.88102
119.41169,,16.60547
114.44612,,29.39303
116.47055,,19.05324
115.60998,,16.64744
144.62499,,18.13857
112.01674,,19.03154
119.02036,,16.65356
118.1634,,18.16122
115.50022,,30.2546
113.91504,,15.98551
154.28623,,18.18683
116.48702,,19.04997
115.55921,,16.63684
118.74771,,18.16904
115.27815,,32.44019
138.74846,,16.63702
118.69809,,18.14085
119.02204,,19.06348
116.35901,,16.64641
122.36099,,21.90306
125.61474,,24.93606
119.51977,,18.62436
118.73554,,18.14839
109.6083,,19.0728
130.33975,,16.64831
118.17738,,18.1619
123.79907,,22.57895
120.0109,,34.53431
115.17006,,18.14867
115.19467,,19.07146
109.25775,,16.6723
136.39293,,18.16011
116.97636,,19.03954
116.34177,,16.6925
116.76103,,40.35223
119.16592,,22.70275
174.40418,,20.89205
118.21638,,25.13142
111.64239,,18.97528
118.20876,,17.7832
159.76896,,48.41616
162.87456,,22.58952
118.00679,,20.86974
113.97632,,18.20591
114.36598,,19.06006
127.61368,,16.72103
161.09837,,18.16184
118.91249,,21.97695
119.49124,,16.67921
114.60548,,18.16908
118.32817,,19.05976
115.80026,,16.71373
168.52555,,32.18541
117.23333,,40.58655
118.77033,,18.3752
119.0965,,18.18045
148.29595,,19.07158
136.92155,,16.69155
117.25636,,18.19406
118.74081,,19.07947
115.35318,,16.69509
137.94332,,18.14875
115.85357,,19.05863
115.17846,,16.74344
