1024B-ESPNOW,128B-ESPNOW,12B-ESPNOW,1024B-SPP,128B-SPP,12B-SPP,1024B-Bluedroid,128B-Bluedroid,12B-Bluedroid,1024B-TCP,128B-TCP,12B-TCP,1024B-Websockets,128B-Websockets,12B-Websockets,1024B-UDP,128B-UDP,12B-UDP,1024B-NimBLE,128B-NimBLE,12B-NimBLE
23.89668,5.80015,5.61173,15.80622,14.62215,11.17529,36.63759,36.28983,11.7043,8.60953,13.32679,12.84701,11.71228,11.67455,13.70435,12.58988,13.41808,7.27999,60.75669,40.97601,24.91563
23.84355,5.80943,5.61994,17.26927,9.9699,10.98945,40.10233,26.30267,16.75842,14.38031,13.47541,13.1101,8.42137,10.45395,17.044,3.49457,15.50884,12.52457,32.50617,30.98299,14.92965
23.89872,5.80269,5.61528,18.19476,13.66943,14.80929,31.54193,16.30538,21.72103,13.54948,11.86075,13.53513,8.31179,14.28049,12.03104,4.5422,12.31495,7.28494,22.50968,21.0019,4.93567
23.89947,5.81595,5.63961,15.85398,12.61972,10.95872,36.65678,21.31822,11.71466,6.83622,14.63908,14.1326,9.29773,11.33645,12.64586,9.44284,10.08244,14.92188,42.52848,41.00613,24.95966
23.83515,6.01224,5.62592,31.7443,10.28306,14.6441,40.12529,26.32309,16.77501,6.912,12.46527,11.78836,9.07548,15.28277,13.63906,8.03592,8.56444,5.0038,32.53273,31.02089,14.95886
23.88326,5.84453,5.59325,19.32424,13.70605,11.04858,31.56856,16.33584,21.74434,8.44213,14.21933,12.94714,10.36007,16.34986,13.0394,4.70397,13.55613,15.21761,48.2614,21.028,34.97391
23.88142,5.93108,5.62953,15.79909,11.47301,11.15463,36.67546,21.34079,11.76231,8.60868,11.71864,18.85363,7.3653,11.32231,26.02019,8.52172,11.97489,10.42239,42.55588,41.04615,24.97995
23.92933,7.09506,5.64888,17.47637,10.09765,13.82867,40.14318,26.35354,16.80934,8.4745,13.29041,8.5959,8.84069,12.26368,13.34093,6.20873,12.99151,6.21087,58.28374,31.05218,45.5048
23.86846,5.83336,5.61411,18.19927,13.67515,24.4764,42.54736,16.35643,21.77397,9.41457,14.03476,13.6447,13.8961,12.79532,11.41105,4.93582,7.68397,9.54897,22.57673,21.06691,4.99785
23.87849,5.80378,5.66633,15.81517,12.6464,11.06324,36.68829,21.36923,11.76553,9.0918,13.80973,14.04804,8.12071,11.91613,12.43006,7.8126,11.63249,6.21369,60.85419,71.07654,25.01691
23.91431,5.83983,5.6658,17.3063,10.29481,14.67956,40.16872,26.37404,16.83309,7.29169,15.07965,15.4832,9.73808,13.36553,13.49871,12.68449,6.10628,6.38169,32.58929,31.08922,15.0231
23.92328,5.82016,5.65913,18.24681,23.67803,11.0651,31.60974,16.38688,21.80126,8.89273,11.33662,13.43612,9.22918,10.98847,13.79705,11.76062,10.94673,10.27577,22.61461,21.10131,5.03669
23.9105,5.82039,5.65246,15.82184,11.46535,11.11383,40.5054,21.39168,11.79122,9.13447,14.61454,13.98006,8.93141,11.32475,14.10138,4.05957,8.78134,10.65229,42.61126,41.11327,25.0542
23.92783,5.84768,5.66579,17.29713,10.08984,13.87601,40.1865,26.40454,16.85428,13.93253,13.69132,11.91968,8.28683,11.27406,12.98076,8.59176,11.06937,11.74377,57.65283,31.12038,45.0611
28.94781,5.82795,5.64911,18.2789,13.69726,12.09569,31.62118,16.40737,21.82471,9.33362,6.53419,12.82225,7.37696,11.03193,11.71156,5.41437,8.04742,7.23476,22.62853,51.13651,5.06609
28.35038,5.88409,5.66945,15.82018,12.66069,11.08924,36.73519,21.42018,11.81244,15.31602,12.69276,9.64538,9.65145,12.0478,11.72196,3.18181,13.83287,13.81032,42.65891,41.14971,25.08107
25.66861,7.37539,5.64974,17.32409,10.32589,13.84536,40.21372,26.42513,16.88401,8.20931,14.00818,13.20545,14.37359,11.04915,12.55314,10.97443,13.97212,15.05478,32.66044,31.15919,15.08427
25.74185,5.84573,5.65603,19.59766,16.2178,12.11692,45.22512,16.43785,21.85414,15.00704,11.80887,14.94521,10.48554,12.54717,13.96948,3.60722,13.47298,5.1036,22.67603,21.1663,5.1071
28.90186,5.86098,5.65739,15.82301,11.4984,11.1992,36.75833,21.44275,11.86015,11.71068,15.3615,12.49517,7.77391,12.6277,12.89531,6.80787,10.35854,14.65559,72.67759,41.18133,25.11034
23.92731,5.84923,5.67363,17.31491,10.25001,13.88677,40.23164,26.45551,16.90927,10.40858,11.17372,14.12223,10.11773,10.75803,16.02537,5.68882,12.41046,5.14035,60.90703,31.18954,15.12392
23.9584,5.85551,5.63596,18.10401,13.6918,12.09128,31.65305,16.45836,21.87582,7.22578,11.51984,17.95078,7.12909,12.97635,13.24171,8.41545,13.68393,6.6497,40.97493,21.20935,5.12722
25.30486,5.8339,5.64233,15.83102,12.67958,11.09808,36.79541,21.47113,11.86739,19.17063,12.93004,16.23985,9.64924,11.79629,13.19317,6.14039,11.23625,23.82776,42.71661,41.21339,25.66372
25.25817,5.86304,5.65865,17.31372,10.32663,13.71666,40.25616,26.47607,16.93662,6.92917,13.4469,13.85859,10.90254,13.19833,15.79928,5.93074,11.47736,6.95048,32.72137,31.22848,15.15326
