SWEPT-1024B,FIXED-1024B,SWEPT-128B,FIXED-128B,SWEPT-12B,FIXED-12B
21.52936,24.29708,27.67372,12.50736,10.7267,14.28054
9.23846,34.29158,6.67498,22.51258,1.72876,NA
26.23748,14.30058,15.67798,2.51498,22.71518,NA
13.24686,24.30646,24.68144,12.5181,13.73394,NA
30.2397,34.30706,3.44782,22.52212,4.73646,NA
17.25092,14.31438,11.45012,2.52626,25.41974,NA
34.2533,24.31714,19.45224,12.52876,15.42942,NA
21.25554,34.31314,27.45542,22.53166,5.43202,NA
8.25094,14.32352,5.45746,2.5365,25.4157,NA
24.90676,24.32386,13.4602,12.53898,15.43554,NA
10.90076,34.33254,21.4628,22.54226,5.43878,NA
26.90354,14.3346,29.46544,2.54736,25.432,NA
12.90604,24.33688,7.2934,12.54844,15.44208,NA
28.91642,34.3412,14.29474,22.5541,5.44506,NA
14.91802,14.34438,21.29922,2.55702,25.42774,NA
30.9124,24.34082,28.3013,12.56046,15.44826,NA
16.9262,34.35146,5.30432,22.56452,5.42304,NA
32.92474,14.35538,12.30512,2.56708,24.41944,NA
18.25026,24.35054,19.30778,12.57032,13.42634,NA
33.25254,34.36188,26.30956,22.57404,2.42876,NA
18.24862,14.36594,2.89432,2.57684,21.4111,NA
33.2579,24.36564,8.89686,12.58184,10.43326,NA
18.2595,34.37164,14.89874,22.58368,29.43038,NA
33.26228,14.37574,20.90138,2.58826,18.43758,NA
18.25688,24.37534,26.90316,12.58954,7.43986,NA
33.25822,34.3809,2.90584,22.59466,26.426,NA
18.26546,14.38574,8.90874,2.5977,14.56572,NA
33.27448,24.3888,14.9127,12.601,2.56832,NA
17.92386,34.39328,20.19724,22.6056,20.56284,NA
31.9307,14.39622,25.20068,2.60896,8.57288,NA
15.9359,24.40004,30.20396,12.61154,26.56134,NA
29.93842,34.39914,5.2057,22.61682,14.5758,NA
13.93734,14.402,10.20784,2.6186,2.57892,NA
27.93616,24.4093,15.21126,12.62308,20.55602,NA
11.94466,34.40564,20.21356,22.62594,8.58414,NA
25.9471,14.41372,25.02424,2.62916,26.57554,NA
