1024B-ACK,1024B-FaF,1024B-throughput-opt,128B-ACK,128B-FaF,12B-ACK,12B-FaF
54.00876,45.86916,53.26908,8.19923,8.89986,6.23777,2.64552
54.01128,45.86877,53.26567,8.19981,8.8995,6.23758,2.64535
54.01086,45.86535,53.26806,8.19941,8.89895,6.23717,2.64515
54.01046,45.86793,53.26784,8.198,8.8984,6.23651,2.64464
54.00712,45.86744,53.25943,8.19659,8.89809,6.23635,2.64396
54.00971,45.86709,53.25601,8.19618,8.89779,6.236,2.64385
54.00927,45.86367,53.2586,8.19577,8.89723,6.23554,2.64343
54.00881,45.86605,53.25823,8.19536,8.89693,6.23388,2.64196
54.00535,45.8658,53.25776,8.19495,8.89643,6.23373,2.64129
54.00799,45.86541,53.25435,8.19437,8.89607,6.23332,2.64117
54.00758,45.86199,53.25698,8.19413,8.89557,6.23291,2.64081
54.00717,45.86457,53.25653,8.19472,8.89521,6.23326,2.64028
54.00384,45.86408,53.25611,8.19332,8.89466,6.2321,2.63961
54.00643,45.86373,53.25261,8.1939,8.8941,6.23175,2.6395
54.006,45.86036,53.25528,8.1935,8.8938,6.23129,2.63907
54.00553,45.86294,53.25491,8.19309,8.89342,6.23063,2.63761
54.0022,45.86245,53.25445,8.19067,8.89293,6.23047,2.63694
54.00554,45.86205,53.25103,8.19027,8.89264,6.22907,2.63682
54.00431,45.85851,53.25363,8.18986,8.89214,6.22867,2.63645
54.00389,45.86121,53.25321,8.18927,8.89077,6.22789,2.63594
54.00056,45.86072,53.25279,8.18904,8.89028,6.22765,2.63514
54.00315,45.86037,53.24938,8.18863,8.88992,6.2275,2.63498
54.00272,45.85695,53.25176,8.18822,8.88937,6.22704,2.63473
54.00225,45.85958,53.2516,8.18781,8.88882,6.22638,2.63325
53.99892,45.85909,53.25113,8.1874,8.8885,6.22622,2.63259
54.00151,45.85869,53.24772,8.18799,8.88821,6.22583,2.63247
54.00103,45.85527,53.25031,8.18758,8.88766,6.22542,2.6321
54.00061,45.85765,53.2499,8.18717,8.88735,6.22376,2.63158
53.99716,45.85736,53.24948,8.18476,8.88685,6.2236,2.63091
53.99987,45.85701,53.24607,8.18418,8.8865,6.22325,2.63079
54.00044,45.85359,53.2487,8.18394,8.88599,6.2228,2.63038
53.99898,45.85617,53.24828,8.18353,8.88564,6.22214,2.6289
53.99564,45.85573,53.24782,8.18313,8.88508,6.22198,2.62824
53.99816,45.85533,53.24433,8.18272,8.88453,6.22257,2.62811
53.99775,45.85196,53.24699,8.1823,8.88423,6.22117,2.62775
53.99734,45.85454,53.24658,8.1819,8.88384,6.22051,2.62722
53.994,45.85399,53.24617,8.18149,8.88337,6.22036,2.62656
53.99635,45.85365,53.25175,8.18208,8.88307,6.219,2.62644
53.99617,45.8501,53.25434,8.18267,8.88256,6.21854,2.62602
53.9957,45.85281,53.25397,8.18109,8.88221,6.21777,2.62455
53.99237,45.85236,53.25351,8.17885,8.88071,6.21754,2.62376
53.99488,45.85197,53.25009,8.17845,8.88035,6.21733,2.62359
53.99448,45.84855,53.25248,8.17803,8.8798,6.21692,2.6234
53.99406,45.85112,53.24426,8.17762,8.87925,6.21627,2.62287
53.99073,45.85063,53.24385,8.17722,8.87894,6.21611,2.62221
53.99332,45.85028,53.24043,8.17681,8.87864,6.21576,2.62208
53.99289,45.84686,53.24302,8.1764,8.87809,6.2153,2.62167
53.99244,45.84924,53.24266,8.17599,8.87778,6.21364,2.6212
53.98897,45.84901,53.2422,8.17558,8.87728,6.21349,2.61953
53.99162,45.84861,53.23878,8.176,8.87693,6.21308,2.61941
53.9912,45.84519,53.24142,8.17577,8.87642,6.21268,2.61904
53.9908,45.84777,53.24095,8.17535,8.87607,6.21202,2.61852
53.98747,45.84727,53.24054,8.17294,8.87552,6.21186,2.61785
53.99005,45.84693,53.23705,8.17254,8.87497,6.2115,2.61774
53.98962,45.84355,53.23971,8.17213,8.87467,6.21105,2.61732
53.98916,45.84613,53.23934,8.17172,8.87429,6.21039,2.61685
53.98583,45.84564,53.23888,8.17132,8.87381,6.21024,2.61518
53.98817,45.84524,53.23546,8.1709,8.87351,6.20983,2.61506
53.98793,45.84069,53.23806,8.17149,8.87301,6.20843,2.61469
53.98753,45.8434,53.23764,8.16991,8.87166,6.20764,2.61418
53.98419,45.8429,53.23723,8.16968,8.87115,6.20741,2.61338
53.98678,45.84255,53.23381,8.16927,8.8708,6.20725,2.61321
53.98635,45.83914,53.2362,8.16986,8.87025,6.2068,2.61296
53.98589,45.84177,53.23603,8.16945,8.86969,6.20614,2.6125
53.98256,45.84128,53.23557,8.16704,8.86939,6.20598,2.61084
53.98514,45.84088,53.23215,8.16663,8.86909,6.20558,2.61071
53.98466,45.83746,53.23474,8.16623,8.86853,6.20517,2.61035
53.98426,45.83983,53.23432,8.16582,8.86823,6.20452,2.60982
53.98079,45.83954,53.23391,8.16541,8.86773,6.20336,2.60916
53.98351,45.83919,53.23049,8.16483,8.86738,6.20301,2.60903
53.98308,45.83577,53.23313,8.1646,8.86687,6.20255,2.60862
53.98262,45.83835,53.23271,8.16418,8.86652,6.20189,2.60814
53.97929,45.8379,53.23225,8.16377,8.86598,6.20174,2.60648
53.9818,45.83751,53.22876,8.16337,8.86542,6.20133,2.60637
53.9814,45.83414,53.23143,8.16396,8.86512,6.20092,2.60599
53.98099,45.83672,53.23102,8.16355,8.86474,6.20027,2.60548
53.97765,45.83617,53.2306,8.16114,8.86427,6.20012,2.6048
53.98,45.83582,53.23619,8.16074,8.86396,6.19976,2.60469
