ETHERNET-1024B,ETHERNET-128B,ETHERNET-12B,WiFi-1024B,WiFi-128B,WiFi-12B
1.99282,2.70275,2.60217,8.51771,6.64105,6.84354
2.04357,30.57642,2.60816,6.05643,6.4807,6.89297
1.98188,2.49704,2.55698,132.16132,6.61078,6.93367
2.03689,2.2738,2.54381,98.68372,6.46455,6.85466
1.95782,2.12564,2.56832,70.90146,6.32767,6.9258
2.04387,2.1774,2.53298,45.24803,6.34668,7.21384
1.99352,2.01394,2.65665,6.55442,6.60309,7.07134
2.0919,2.01573,2.59348,5.92121,6.41939,8.38559
1.99121,11.50435,2.5889,5.94275,6.03143,6.92416
2.03991,30.61187,2.55161,3.45712,6.33205,6.83385
1.97806,2.32151,2.52089,6.27243,7.90553,7.0412
1.95845,2.04533,2.57839,6.71052,6.72037,7.17315
2.13672,2.32468,2.49405,5.7168,7.22806,7.57735
2.03297,2.41254,2.50945,5.99588,6.92169,8.93279
2.09806,2.17541,2.68409,2.8807,6.30856,6.87432
2.14513,2.05156,2.59359,6.18415,7.31905,7.02912
2.50384,40.54773,2.62107,6.29989,6.48647,7.11866
2.60217,2.58999,2.54033,5.90575,6.89694,7.151
2.51505,2.37352,2.49561,7.5884,5.89945,6.79169
2.57069,2.52647,2.53468,2.82115,6.79177,6.92082
2.56935,2.54172,2.59043,6.13405,6.46128,7.08067
2.63977,2.57341,2.7345,6.74198,6.41633,7.90318
2.65612,2.56208,2.57191,6.07467,6.76065,7.15779
2.61848,2.52341,2.51176,14.178,6.05739,6.85228
2.52433,2.61943,2.58235,7.04145,7.34827,7.19494
2.72307,2.53826,2.55286,7.06546,6.16667,7.55213
2.56745,2.54444,2.79632,9.42767,6.6279,6.95362
2.60512,2.52459,2.58788,5.69991,6.68675,7.97443
2.55825,2.54466,2.61366,6.16551,5.82103,6.95753
2.58058,2.50917,2.58327,5.65231,6.74111,6.79281
2.5285,2.4637,2.55678,5.96674,6.88393,6.84363
2.5474,2.50837,2.57376,6.15209,6.88824,6.70046
2.58839,2.49635,2.64566,6.08936,9.50385,7.24466
2.60418,9.85434,2.53688,6.16423,6.19789,8.18882
2.55189,2.69404,2.56113,5.12425,6.42484,7.79769
2.68003,2.44498,2.57963,6.08047,6.3265,11.54291
2.44052,2.58767,2.65799,6.01344,10.6154,6.78411
2.59669,2.44661,2.53255,6.59928,6.75462,7.41684
2.57377,2.38009,2.58616,6.30472,7.17029,8.12102
2.60196,2.36758,2.5625,6.00054,6.28666,7.27874
2.57546,2.40679,2.54818,5.97858,6.54238,6.63812
2.57385,2.58816,2.60688,6.26642,6.90669,7.03728
2.44983,2.36914,2.49788,6.09454,6.54164,6.57779
2.59453,2.38835,2.51251,5.88034,6.59889,6.74402
2.62646,2.73915,2.55528,5.90832,7.31845,6.76806
2.69734,2.40396,2.62897,6.22259,6.43677,6.91501
2.58918,2.53003,2.68187,6.44443,6.49754,7.32646
2.59474,2.62726,2.91677,9.7839,6.66779,6.631
