"ll-115200-dma-debug","ll-115200-dma-minsize","ll-115200-dma-release","ll-115200-irq-debug","ll-115200-irq-minsize","ll-115200-irq-release","ll-115200-poll-debug","ll-115200-poll-minsize","ll-115200-poll-release"
1164130,1137840,1142470,1066080,1048120,1047980,1062970,1053020,1046150
1163620,1054120,1139900,1064760,1046760,1046620,1061530,1051710,1044820
1091630,1148240,1137170,1063440,1054140,1045260,1060260,1050560,1052050
1176560,1144690,1051690,1062180,1052820,1052680,1067710,1049010,1050730
1167370,1141160,1137130,1061020,1051520,1051320,1066150,1047950,1049420
1158190,1057580,1134540,1059660,1050200,1049960,1064840,1046610,1048340
1086360,1142940,1140660,1066840,1048880,1048760,1063730,1053750,1046950
1171200,1139400,1055130,1065500,1047560,1047380,1062150,1052410,1045470
1170720,1135970,1140550,1064200,1054920,1046040,1060810,1051110,1044290
1161580,1060990,1137970,1062880,1053600,1044800,1059710,1049740,1051490
1089650,1146250,1135380,1061560,1052280,1052100,1067130,1048670,1050320
1174640,1142760,1049860,1060240,1050960,1050740,1065700,1047210,1048980
1165460,1139370,1143940,1067600,1049640,1049540,1064480,1054700,1047790
1156660,1055650,1141350,1066300,1048340,1048180,1062850,1053240,1046420
1093060,1141080,1138730,1065040,1047020,1046840,1062060,1051810,1045150
1177950,1146250,1053220,1063820,1054440,1045500,1060720,1050760,1052460
1169040,1142710,1138750,1062320,1053060,1052920,1058950,1049440,1051070
1159700,1059130,1136090,1061040,1051740,1051560,1066470,1048170,1049870
1088150,1144390,1133480,1059780,1050420,1050200,1065110,1046590,1048320
1172730,1140990,1056720,1067060,1049100,1048980,1063960,1053970,1047120
1163590,1137440,1142160,1065720,1047780,1047600,1062370,1052840,1045880
1163160,1053860,1139550,1064420,1055140,1046280,1061010,1051340,1044490
1091170,1147830,1136850,1063100,1053820,1044920,1059880,1049960,1051880
1176130,1144330,1051430,1061800,1052500,1052360,1067260,1048650,1050400
1166900,1140920,1136870,1060460,1051200,1050980,1065870,1047380,1049230
1158170,1057310,1134310,1067820,1049880,1049680,1064580,1054730,1047890
1086230,1142560,1140340,1066500,1048560,1048440,1063530,1053460,1046690
1179480,1139030,1054840,1065180,1047240,1047060,1061970,1052120,1045300
1170480,1135650,1140280,1063880,1054660,1045720,1060630,1050980,1052490
1161280,1060640,1137680,1062540,1053280,1053080,1059530,1049660,1051410
1089680,1145940,1134990,1061260,1051960,1051760,1067000,1048390,1050070
1174150,1142530,1049570,1060000,1050640,1050400,1065590,1046810,1048540
1165030,1139050,1143610,1067280,1049320,1049100,1064370,1054400,1047390
1156280,1055450,1141030,1065960,1047980,1047860,1062690,1052800,1046110
1093120,1140700,1138450,1064640,1046680,1046520,1061250,1051490,1044810
1177590,1145870,1052940,1063320,1054120,1045180,1060150,1050210,1052130
1168500,1142450,1138360,1062060,1052780,1052620,1067550,1049110,1050760
1159720,1058730,1135760,1060700,1051440,1051260,1066000,1047620,1049540
1087890,1144140,1133220,1068040,1050100,1049900,1064680,1054880,1048130
1172350,1140590,1056300,1066740,1048800,1048600,1063600,1053830,1046840
