115200-DMA,115200-IRQ,115200-POLL,230400-DMA,230400-IRQ,230400-POLL,460800-DMA,460800-IRQ,460800-POLL,921600-DMA,921600-IRQ,921600-POLL,1843200-DMA,1843200-IRQ,1843200-POLL
96028,3898,6558,49844,7114,6494,27182,4902,5912,18151,2861,2701,12425.5,5365.5,4865.5
95408,4608,7108,9694,3504,7074,8642,5552,4392,16121,3291,3011,10915.5,5195.5,4895.5
11878,5308,7918,53824,4154,3644,31122,4072,4992,15081,2621,2221,14355.5,4915.5,4655.5
99408,5998,8728,53274,4924,4204,28382,4852,5802,7261,3051,2801,13545.5,5255.5,4945.5
98798,6688,9328,48244,5574,5044,27702,5502,4242,17391,3371,3061,12045.5,5085.5,4705.5
98128,7378,9878,8084,6234,5544,9302,4032,4792,16521,2701,2321,11115.5,4805.5,4995.5
14728,8078,10688,52324,6994,6384,31772,4672,5602,15591,3001,2851,14535.5,5165.5,4755.5
102198,8768,2598,51604,7654,6954,28972,5462,4062,6671,3451,3161,13795.5,4995.5,5045.5
92908,9458,3408,51084,4054,3274,28332,6102,4872,17911,2781,2381,12265.5,5315.5,4805.5
92288,10048,4218,10944,4704,4104,9922,4622,5422,17011,3061,2951,10745.5,5015.5,4575.5
8778,10768,4768,55054,5354,4674,30042,5272,3872,14991,3521,3211,14675.5,5375.5,5125.5
96268,11468,5578,50054,6114,5434,29412,6052,4692,7211,2841,2491,13525.5,5235.5,4885.5
95658,3558,6128,49414,6774,6014,28762,4582,5232,18331,3151,3041,12015.5,4955.5,4645.5
94528,4248,6928,9364,7434,6844,8132,5252,3982,16321,3601,3331,10975.5,5285.5,4935.5
11028,4938,7508,53514,3834,7614,30602,5942,4552,15441,2921,2571,14415.5,5155.5,4685.5
98418,5638,8318,52864,4484,3994,29962,4482,5342,6531,3231,2851,13765.5,4885.5,4975.5
97898,6328,8868,52204,5254,4554,27202,5122,3812,17751,3681,3401,12235.5,5225.5,4745.5
97248,7018,9678,7824,5904,5324,8772,5802,4602,16831,3001,2641,11245.5,4935.5,5025.5
13728,7698,10228,51914,6554,5894,31172,4372,5182,14821,3281,2931,14655.5,5265.5,4795.5
101218,8398,11038,51254,7314,6754,28402,5022,3602,7031,3621,3481,13375.5,5105.5,4815.5
100568,9008,2948,50614,3604,7304,27852,5692,4432,18161,2941,2721,12495.5,4935.5,5125.5
91308,9718,3758,10574,4404,3664,9322,4232,4962,16141,3381,3011,10945.5,5265.5,4915.5
7918,10438,4308,54704,5064,4474,29692,4912,5792,15251,2691,3561,14875.5,4985.5,5225.5
95288,11158,5118,49714,5724,5024,29042,5552,4232,7471,3021,2801,13615.5,5325.5,4945.5
94758,3118,5928,49074,6374,5834,28432,4082,5062,17581,3461,3081,12085.5,5055.5,4735.5
94118,3808,6508,9054,7144,6384,7772,4852,5582,16561,2771,2591,11185.5,4915.5,5045.5
10698,4538,7068,53134,7804,7194,30272,5502,4322,15671,3101,2871,14485.5,5255.5,4755.5
98078,5248,7908,52484,4184,3554,29612,4022,4852,6751,3511,3151,13355.5,4965.5,4545.5
97438,5958,8668,51854,4844,4104,26822,4702,5682,17971,2841,2651,12325.5,4815.5,4855.5
96908,6648,9238,11434,5494,4914,8412,5392,4112,17081,3171,2941,10785.5,5175.5,4835.5
13418,7338,10078,51304,6264,5494,30802,6062,4692,15031,3591,3231,14705.5,4895.5,5135.5
100818,8038,10578,50694,6924,6314,30262,4612,5472,7241,2921,2731,13605.5,5255.5,4945.5
100288,8728,2768,50024,7574,6844,27482,5252,3952,18331,3251,3041,12055.5,4965.5,4715.5
90918,9408,3348,9884,3974,7674,8942,6032,4742,16421,3681,3351,11085.5,5325.5,4995.5
7508,10108,4108,54014,4634,4014,31422,4552,5332,15401,2991,2621,14405.5,5165.5,4765.5
94978,10798,4678,53464,5384,4584,28682,5102,4042,6601,3301,3121,13735.5,4885.5,5055.5
94328,11488,5538,48464,6044,5374,28022,5752,4592,17731,3711,3431,12205.5,5215.5,4815.5
93708,3438,6088,8294,6694,6214,9612,4282,5412,16841,3021,2691,10685.5,5045.5,5105.5
10298,4138,6908,52424,7464,6734,29872,4922,3862,14821,3351,3191,14615.5,4875.5,4865.5
97768,4868,7458,51804,3754,7574,29212,5702,4412,7061,2691,2461,13495.5,5205.5,4625.5
97128,5578,8258,51274,4514,3914,28682,4232,5222,18181,3021,2771,11975.5,4915.5,5175.5
96508,6198,8808,11124,5174,4474,8002,4882,3672,16261,3481,3271,10965.5,5265.5,4945.5
