TEST 1,TEST 2,TEST 3,TEST 4,TEST 5,TEST 6,TEST 7,TEST 8,TEST 9
132.28764,184.78465,31.11652,134.08182,188.67984,241.42749,91.29267,35.76653,84.1907
142.32448,183.79944,32.07395,128.31967,192.28405,242.32151,91.39075,34.94081,79.65106
133.6863,183.49119,33.2733,129.15136,193.72754,243.30115,93.9161,36.25472,80.55137
134.79733,182.63209,37.47111,125.30746,193.55348,243.55674,91.59942,35.31384,78.48845
132.51071,181.73744,28.31604,129.5257,188.55076,243.78747,99.43235,35.07211,79.62626
133.07422,181.37649,27.84046,132.15173,185.31485,240.51724,93.35343,39.68102,80.89351
135.36039,181.64999,32.4006,128.04149,186.49535,241.43748,92.00844,35.32769,80.17918
132.29476,182.56023,30.67526,126.95516,191.29145,240.98789,94.79187,32.08398,80.34363
132.65139,180.23263,31.31734,126.75537,184.92189,244.92173,91.72638,34.78362,79.13681
141.41235,181.15636,32.94212,127.8768,184.99264,246.03366,91.05683,32.08087,79.28563
146.09514,181.14026,32.33645,127.98896,186.94256,242.82201,90.78435,36.80361,80.08831
137.29835,186.61009,30.27192,127.10259,195.54785,245.26214,97.62505,35.38887,81.99802
137.04279,181.42151,39.83524,126.06388,186.85186,242.16308,90.95122,35.19409,78.91909
139.38626,183.74847,31.86075,130.2371,189.38583,241.42834,90.34155,37.5433,78.82761
136.33244,185.49008,34.29106,126.13773,189.45256,241.73969,97.12281,32.98053,82.80508
133.68378,180.41172,29.57628,128.15315,185.36255,242.62123,91.514,31.56887,82.61874
134.39315,186.58271,29.25783,133.63051,186.68814,242.78394,91.57352,34.24855,86.63808
135.57854,187.58604,43.8822,125.30788,186.80768,247.75614,94.22816,33.08693,83.25813
139.90129,182.34741,28.43162,129.71482,192.50239,245.21133,91.26246,33.96752,81.13186
133.95769,179.72028,31.71004,130.17178,188.16551,246.05931,98.94398,33.63977,79.42508
134.32968,193.53428,29.80751,131.12297,193.03023,243.61494,90.7654,37.79281,78.35735
133.10974,180.19948,48.37484,128.72126,188.60288,245.42653,101.31276,32.58739,85.77709
136.2703,186.73237,29.5081,130.06889,188.76552,246.93101,92.61615,33.11733,79.4361
135.97757,182.56255,29.05854,132.41411,185.92354,262.4981,97.17854,33.59693,79.74551
137.27146,181.7853,29.87587,129.14152,188.05702,243.88315,91.8066,34.6945,79.0573
132.48132,181.97348,28.96143,129.42203,185.91576,244.7401,93.38738,38.2169,80.32547
138.36115,184.21245,27.91068,126.35599,185.69381,243.65332,93.01466,37.12063,86.62315
136.91917,180.49288,33.07421,126.82392,188.68317,240.56645,91.14341,34.18174,78.57308
135.93061,182.39345,31.66653,126.95316,188.68194,248.72033,94.57924,32.4316,80.244
137.09179,181.71857,32.19878,126.05452,185.77499,248.03332,94.53191,35.77245,87.6086
135.69634,179.78539,29.76538,127.60398,192.34678,242.74324,92.5631,34.93376,80.37707
139.50544,179.6846,34.27361,130.00838,186.53686,244.85744,97.21385,34.07405,84.01047
136.849,179.66661,32.29016,128.86213,190.70016,244.89845,90.36474,34.93555,82.83628
132.79911,187.47014,30.41472,130.75201,186.74307,242.32539,91.14875,32.6068,83.09653
135.5612,179.86046,30.763,125.7091,186.80689,243.16451,91.71999,36.89653,83.72159
133.85856,181.46187,29.14938,130.38801,189.85923,240.87251,94.47845,36.4241,80.85516
132.43568,187.65298,30.98754,137.53899,190.57701,244.88647,92.28793,35.0254,90.47282
135.88827,182.31032,35.58272,126.93862,186.27927,244.04681,89.9953,32.61226,86.76367
134.50936,180.55029,43.88652,136.85713,188.04133,242.64019,92.62256,37.80882,81.89215
133.96467,181.93767,28.50394,131.21338,186.77073,244.47654,97.69436,38.49511,89.38978
136.71001,190.88969,42.68743,128.2989,192.63011,246.35442,95.52604,33.47653,80.43926
133.19488,185.1162,32.96886,135.42829,187.29586,243.39738,97.28446,34.1699,85.48923
